Day,Date,UTC,PST,Lat,Long,geopoint_test:Accuracy,select_country,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,,select_previous,select_photo,select_whaleinfo,ecotype,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials
Tue,7-Jul,22:52:16,15:52:16,48.54729167,-123.1760467,0.9,USA,Luna,Mariana,PPB,T,,paddle_whale,paddle whale,contact_no,photo_y,whaleinfo_y,SRKW,J pod,,,wwf_n,1,kayakwwf_n,Paddleboarder paddling towards whales,Emv
Tue,7-Jul,18:42:22,11:42:22,48.50468167,-123.1531783,0.9,USA,Luna,Mariana,PM,T,,withinhalfmile_Limekiln,withinhalfmile Limekiln,contact_no,photo_n,whaleinfo_n,SRKW,,,,wwf_n,,,,Emv
Wed,8-Jul,23:42:04,16:42:04,48.55703667,-123.187795,8,USA,Luna,Erin,PM,T,,100_yards_under_power travel_behind100_400yds,100 yards under power,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,2,,,Emv
,,,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Wed,8-Jul,23:50:54,16:50:54,48.55189,-123.1853133,7.9,USA,Luna,Erin,PS,T,,100_yards_under_power 300_yards_under_power travel_behind100_400yds,100 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_n,,wwf_n,2,,,Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Wed,8-Jul,21:55:34,14:55:34,48.658665,-123.2322533,4.7,USA,Luna,Erin,PS,T,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_y,Divert path,wwf_n,1,,,CL
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Fri,10-Jul,18:51:52,11:51:52,48.39030833,-122.9681233,0.9,USA,Luna,Jess,EU,WO,,200_yards_under_power,200 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,2,kayakwwf_n,,CL
Fri,10-Jul,21:16:39,14:16:39,48.326985,-123.08764,1.1,USA,Luna,Jess,PM,F,,200_yards_under_power fishing_within200yds,200 yards under power,contact_yes,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,,2,,WDFW didn't enforce after we informed them about the fishing boat,CL
,,,,,,,,,,,,,,fishing within200yds,,,,,,,,,,,,
Sat,11-Jul,21:09:10,14:09:10,48.48154833,-123.12258,0.7,USA,Luna,Erin,PM,T,,100_yards_under_power 200_yards_under_power no_go_zone high_speed_within_1km,100 yards under power,contact_yes,photo_n,whaleinfo_y,SRKW,J SRKW,behavior_unk,,wwf_n,1,,,AKB
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
Sun,12-Jul,18:29:40,11:29:40,48.69549,-123.2259783,0.9,USA,Luna,Erin,EC,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J,behavior_unk,,wwf_n,1,,,AKB
Sun,12-Jul,21:45:11,14:45:11,48.48168,-123.108315,0.8,USA,Luna,Erin,PM,T,,100_yards_under_power 200_yards_under_power high_speed_within_1km,100 yards under power,contact_yes,photo_n,whaleinfo_y,SRKW,J,behavior_y,Deeper dive,wwf_n,1,,,AKB
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
Sun,12-Jul,19:33:27,12:33:27,48.642225,-123.2160367,1,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J16,behavior_unk,,wwf_n,7,,,AKB
Tue,14-Jul,19:50:17,12:50:17,48.48450167,-123.1118067,1,USA,Luna,Mariana,EU,T,,100_yards_under_power  400yd_inthepath,100 yards under power,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Group went farther inland to avoid J2,wwf_n,2,,Vessel was Maya's Legacy J2,Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Tue,14-Jul,19:41:12,12:41:12,48.48559167,-123.115895,1,USA,Luna,Mariana,EU,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_n,,wwf_n,2,,"Orca still in front of boat, approaching bow, possibly J2",Emv
Tue,14-Jul,22:33:09,15:33:09,48.45478333,-123.042315,0.9,USA,Luna,Mariana,PM,T,,300_yards_under_power 100_yards_under_power,300 yards under power,contact_yes,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,Foraging behavior couldve been impacted,wwf_y,2,,Completely ignored our order to go offshore and motored right over the foraging ground of the whales,Emv
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
Tue,14-Jul,22:04:31,15:04:31,48.45340333,-123.041695,0.8,USA,Luna,Mariana,PM,WO,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_y,Divert path,wwf_n,1,,,Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Tue,14-Jul,0:00:21,17:00:21,48.49392333,-123.1446817,0.8,USA,Luna,Mariana,PM,T,,300_yards_under_power 400yd_inthepath 100_yards_under_power travel_behind100_400yds,300 yards under power,contact_yes,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,Possible Sudden dive due to popping up right off bow,wwf_n,1,,"Orca surfaced right off bow, boat was located inland despite previous contact and warning to stay offshore. Boat name:  casa de perros",Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Tue,14-Jul,22:54:17,15:54:17,48.45460333,-123.0403517,0.9,USA,Luna,Mariana,PM,WO,,300_yards_under_power 400yd_inthepath fishing_within100yds,300 yards under power,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Foraging interrupted,wwf_n,1,,,Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,fishing within100yds,,,,,,,,,,,,
Tue,14-Jul,22:57:33,15:57:33,48.45363167,-123.0393567,0.9,USA,Luna,Mariana,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,1,,,Emv
Tue,14-Jul,23:05:42,16:05:42,48.44970333,-123.0451967,0.9,USA,Luna,Mariana,PM,T,,high_speed_within_1km 100_yards_under_power 300_yards_under_power 400yd_inthepath,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,2,,,Emv
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Tue,14-Jul,22:09:52,15:09:52,48.45361833,-123.040155,0.8,USA,Luna,Mariana,PM,T,,high_speed_within_1km 200_yards_under_power 400yd_inthepath fast_departurewithin400yds,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,1,kayakwwf_n,,Emv
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Tue,14-Jul,21:42:16,14:42:16,48.45597333,-123.051495,0.8,USA,Luna,Mariana,PM,WO,,inshore_of_whales 100_yards_under_power 300_yards_under_power,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,1,,Eagle cove,Emv
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
Tue,14-Jul,22:02:52,15:02:52,48.453365,-123.0421033,0.8,USA,Luna,Mariana,PM,WO,,inshore_of_whales 300_yards_under_power,inshore of whales,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,Couldve impacted foraging,wwf_n,1,,Gray private vessel 2nd incident,Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
Tue,14-Jul,21:16:00,14:16:00,48.46477667,-123.0702883,0.8,USA,Luna,Mariana,PM,WO,,inshore_of_whales 300_yards_under_power 400yd_inthepath,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Divert,wwf_n,1,,,Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Tue,14-Jul,22:40:55,15:40:55,48.45010167,-123.033705,0.9,USA,Luna,Mariana,PM,F,,inshore_of_whales 300_yards_under_power fishing_within100yds,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Interrupted foraging and fished salmon that could've been foraged by the whales,wwf_n,2,,"Gray boat: 3rd incident: repeatedly tried to contact over radio;: did not respond to female attempts, but responded when males contacted them over the radio",Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,fishing within100yds,,,,,,,,,,,,
Tue,14-Jul,18:41:37,11:41:37,48.48439667,-123.1054483,1.2,USA,Luna,Mariana,PM,T,,inshore_of_whales high_speed_within_1km 100_yards_under_power 300_yards_under_power 400yd_inthepath no_go_zone Fast_withinquartermile_whales fast_departurewithin400yds incorrectfast_approach,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,"Changed direction heading south at a greater speed, boat was heading North",wwf_n,2,kayakwwf_n,Actively ignored Sound watch and Moja,Emv
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Tue,14-Jul,20:14:23,13:14:23,48.48631167,-123.113155,0.9,USA,Luna,Mariana,PM,T,,inshore_of_whales high_speed_within_1km 300_yards_under_power 400yd_inthepath incorrectfast_approach,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Headed more inland,wwf_n,2,,Boat name: Sea Raider,Emv
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Tue,14-Jul,22:14:49,15:14:49,48.45087667,-123.035015,0.8,USA,Luna,Mariana,PS,WO,,300_yards_under_power fishing_within200yds,300 yards under power,contact_yes,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,Could've interrupted foragubg,wwf_n,1,,Disregarded our warning to move offshore and stay 300m from whales: vessel name is Full Moon from Montana,Emv
,,,,,,,,,,,,,,fishing within200yds,,,,,,,,,,,,
Wed,15-Jul,19:18:54,12:18:54,48.478935,-123.1053517,1,USA,Luna,Erin,PM,T,,300_yards_under_power incorrectfast_approach,300 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_n,,wwf_n,4,,,CL
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Wed,15-Jul,19:47:32,12:47:32,48.47599,-123.0987733,1.1,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,1,,"Boat possibly the transit boat for DNR net project , people on board matching in yellow suits",
Wed,15-Jul,21:04:04,14:04:04,48.45508333,-123.0466667,,USA,Luna,Erin,PM,F,,high_speed_within_1km,high speed within 1km,contact_yes,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,,3,,,CL
Fri,17-Jul,21:47:48,14:47:48,48.51542333,-123.1651717,0.9,USA,Luna,Jess,PM,T,,high_speed_within_1km 200_yards_under_power incorrectfast_approach fast_departurewithin400yds,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,1,,Very poor reaction by Seacil,Emv
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Fri,17-Jul,19:03:00,12:03:00,48.55658,-123.18331,1,USA,Luna,Jess,PM,T,,high_speed_within_1km fast_departurewithin400yds incorrectfast_approach,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J16s,behavior_unk,,wwf_n,1,,,Emv
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Fri,17-Jul,20:00:48,13:00:48,48.57832333,-123.196125,0.9,USA,Luna,Jess,PM,T,,high_speed_within_1km incorrectfast_approach,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J16s,behavior_unk,,wwf_n,2,,,Emv
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Fri,17-Jul,19:22:09,12:22:09,48.580385,-123.19094,0.9,USA,Luna,Jess,PM,T,,high_speed_within_1km inshore_of_whales,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J16s,behavior_unk,,wwf_n,2,,North River,Emv
,,,,,,,,,,,,,,inshore of whales,,,,,,,,,,,,
Fri,17-Jul,20:38:39,13:38:39,48.52345667,-123.1687733,0.7,USA,Luna,Jess,PM,T,,inshore_of_whales 300_yards_under_power 400yd_inthepath,inshore of whales,contact_yes,photo_y,whaleinfo_y,SRKW,J16s,behavior_y,Diversion,wwf_n,2,,,Emv
